Date,Open,High,Low,Close,Volume,Market Cap
Jun-01-2022,1.0001,1.0001,1,1.00005,3628436311.111111,54066357961.06697
May-31-2022,1,1.0001,0.99995,1.0001,3243836898.357895,53985751927.068985
May-30-2022,1,1.00005,0.9999,1,3775496876.4444447,53888407407.85479
May-29-2022,0.99995,1,0.9999,0.9999,2801827967.5524473,53702128498.79618
May-28-2022,1.00005,1.00005,0.9999,0.99995,1818442200,53687050487.06138
May-27-2022,1.00005,1.00005,0.99995,1.00005,2813456577.7777777,53576358231.22139
May-26-2022,0.99995,1.00015,0.99995,1,4138123128.888889,53368316616.5078
May-25-2022,1.00005,1.00015,0.99995,1.0001,3363950703.5555553,53356706612.81362
May-24-2022,1.00005,1.0001,0.99995,1,2502233211.5555553,53416695566.93151
May-23-2022,1,1.0001,0.9999,1,2909987024.888889,53251993330.62857
May-22-2022,0.99995,1.00005,0.99985,0.99995,2536667208.696864,53190734406.34494
May-21-2022,1,1.00005,0.99955,0.99995,1642612996,53067653849.52351
May-20-2022,0.99995,1.00005,0.99985,1,2592080668.888889,52998056440.81082
May-19-2022,1,1,0.9996,0.99995,3664757056,52838347975.9639
May-18-2022,0.9999,1.00005,0.99985,0.99995,4451844748.531468,52433394395.11987
May-17-2022,0.99995,1.00005,0.99985,0.99995,3081249630.4335666,52215877595.49913
May-16-2022,0.99985,1.0001,0.99985,0.99995,4839302288,52088179194.75124
May-15-2022,0.99995,1.0001,0.99965,0.99995,7098880855.111111,51303438601.582855
May-14-2022,1,1.0001,0.9999,0.99995,5749044504.888889,51097938202.59037
May-13-2022,1,1.0001,0.99985,1.00005,5386296931.555555,50921752149.35865
May-12-2022,0.9999,1.0002,0.99965,0.99995,11925187240.88889,50002756126.17478
May-11-2022,1,1.0001,0.99935,0.99995,19977356209.77778,49024393391.79556
May-10-2022,0.99995,1.00085,0.99985,1.0001,8678097489.170732,48539998759.95269
May-09-2022,1,1.0001,0.9999,0.99995,7992985640.888889,48490362809.03295
May-08-2022,1.00005,1.0001,0.9999,0.99995,4474713792.901408,48619668669.67845
May-07-2022,1.00005,1.0001,0.99995,1,3611780593.7777777,48660186700.49838
May-06-2022,1,1.00005,0.9999,1.00005,2966398425.7777777,48574906630.025345
May-05-2022,0.99995,1.00005,0.9999,0.99995,4028766169.7777777,48800353885.420494
May-04-2022,0.99995,1.00005,0.9999,1,3080500684.7108016,48789555074.52356
May-03-2022,0.9999,1.0001,0.9999,1,2610143344.9142857,49031269630.16437
May-02-2022,0.9999,1.00005,0.9999,0.99995,2837658780.4444447,49081043489.544754
May-01-2022,0.99995,1.00005,0.9999,0.9999,2441888039.042471,49267508904.06853
Apr-30-2022,1,1.00005,0.99995,1,2728240653.3046594,49267297679.179146
Apr-29-2022,0.99995,1.00005,0.9999,1,2805968488.4444447,49361489535.84838
Apr-28-2022,1,1.00005,0.9999,0.99995,2973664688,49400166039.414375
Apr-27-2022,0.9999,1.00015,0.9995,0.9999,2655553655.4965034,49509326534.13548
Apr-26-2022,0.99995,1.00095,0.9999,1,3171502011.111111,49500363398.91892
Apr-25-2022,1.00005,1.00005,0.9999,1,3138606594.6666665,49862206462.683
Apr-24-2022,1,1.0001,0.99995,1.00005,2681979696.6132402,49893350979.437325
Apr-23-2022,1,1.0001,0.99995,1.00005,1524442455.5555556,49893312861.188354
Apr-22-2022,1,1.0001,0.9999,0.99995,2016696606.4444444,49892793149.19467
Apr-21-2022,1.00005,1.0001,0.99995,1.00005,3172385384.7272725,49893624870.10206
Apr-20-2022,1,1.0001,0.9999,1.0001,2886295804.4444447,49892515969.46463
Apr-19-2022,0.99995,1,0.99985,1,2671275096.30662,49852924198.32551
Apr-18-2022,0.9999,1,0.99985,0.99995,3122241929.8118467,49908269552.10729
Apr-17-2022,1,1.00005,0.99985,0.9999,3069308896.888889,50009918455.321434
Apr-16-2022,1.00005,1.00005,0.9999,1.00005,1872994864.4444444,50089587301.55289
Apr-15-2022,1,1.00005,0.9998,1,1894255999.5555556,50093913503.01145
Apr-14-2022,0.9999,1.00005,0.9999,0.99995,2475026361.7777777,50196229456.94916
Apr-13-2022,1.00005,1.00005,0.9999,0.99995,2701880922.4908423,50365539321.16914
Apr-12-2022,0.99995,1.00005,0.99985,1,3294159550.20979,50634950017.8178
Apr-11-2022,0.99995,1.00005,0.99985,0.99985,3926202598.075949,50780254686.82148
Apr-10-2022,0.9999,1.00005,0.9999,1,2793061000.654804,50925998165.70046
Apr-09-2022,1,1,1,1,1885598208,50974473747
Apr-08-2022,1,1.00005,0.9999,1,2692886353.7777777,50952965548.92483
Apr-07-2022,0.9999,1.00005,0.9999,1,3022738258.508711,51037051760.49288
Apr-06-2022,0.9999,1,0.99985,0.99995,3894607778.6666665,51115387490.04495
Apr-05-2022,0.99995,1.00005,0.99985,0.99995,4012737701.0174217,51312774833.65328
Apr-04-2022,1.00005,1.00005,0.99985,0.9999,3245298345.477352,51513054559.63923
Apr-03-2022,1,1.0001,0.9999,1,2870693295.111111,51636352933.87601
Apr-02-2022,1,1.00015,0.99995,1.00005,2719187399.5555553,51627670779.480736
Apr-01-2022,0.99995,1.0001,0.9999,1.00005,3383197457.7777777,51660064411.705
Mar-31-2022,0.99995,1.00005,0.9999,0.99995,3840873801.142857,51497616669.59432
Mar-30-2022,1,1.00015,0.9999,1,3216632855.1916375,51617520646.867874
Mar-29-2022,1.00005,1.0001,0.9999,1,3265499173.3333335,51888970330.416084
Mar-28-2022,0.99995,1.00015,0.9999,1.00005,3386612691.5555553,51897520031.0231
Mar-27-2022,0.99995,1.0001,0.9999,0.9999,3063464794.2222223,52070302826.785
Mar-26-2022,1.00005,1.0001,0.9999,0.99995,1740628607.3333333,51997563894.105385
Mar-25-2022,1.0001,1.00015,0.99995,1.0001,2354924422.6666665,51938234701.15197
Mar-24-2022,0.99995,1.0001,0.99995,1,3131678948.888889,52456586840.61394
Mar-23-2022,1.00005,1.0001,0.99995,1,2948104207.111111,52437154213.92026
Mar-22-2022,0.99995,1.0001,0.9999,1.00005,2624290934.634146,52547681646.75379
Mar-21-2022,1.00005,1.00005,0.9999,1.00005,2814510734.6666665,52923206844.2643
