Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,0.846070,0.850940,0.845800,0.846024,0.846024,0
2021-09-17,0.849990,0.852540,0.848200,0.849800,0.849800,0
2021-09-20,0.852600,0.854660,0.852000,0.852520,0.852520,0
2021-09-21,0.852830,0.853540,0.851140,0.852500,0.852500,0
2021-09-22,0.852800,0.853450,0.851460,0.853030,0.853030,0
2021-09-23,0.855510,0.855857,0.850991,0.855600,0.855600,0
2021-09-24,0.851660,0.854580,0.851200,0.851770,0.851770,0
2021-09-27,0.853090,0.855680,0.852660,0.853020,0.853020,0
2021-09-28,0.854990,0.856900,0.854263,0.854935,0.854935,0
2021-09-29,0.855660,0.861320,0.855286,0.855700,0.855700,0
2021-09-30,0.861900,0.864300,0.861200,0.861950,0.861950,0
2021-10-01,0.863990,0.864760,0.861401,0.863970,0.863970,0
2021-10-04,0.861530,0.862920,0.859100,0.861530,0.861530,0
2021-10-05,0.860840,0.863330,0.860400,0.860700,0.860700,0
2021-10-06,0.862430,0.867290,0.862100,0.862360,0.862360,0
2021-10-07,0.865400,0.865850,0.864200,0.865400,0.865400,0
2021-10-08,0.865110,0.866360,0.863280,0.865070,0.865070,0
2021-10-11,0.864610,0.865580,0.863000,0.864600,0.864600,0
2021-10-12,0.865580,0.867010,0.864300,0.865520,0.865520,0
2021-10-13,0.867230,0.867260,0.863632,0.867000,0.867000,0
2021-10-14,0.862100,0.863210,0.860215,0.862100,0.862100,0
2021-10-15,0.862760,0.862900,0.860600,0.862700,0.862700,0
2021-10-18,0.862370,0.864080,0.861170,0.862290,0.862290,0
2021-10-19,0.860990,0.860990,0.856898,0.861040,0.861040,0
2021-10-20,0.859560,0.860730,0.858074,0.859700,0.859700,0
2021-10-21,0.858190,0.859610,0.856900,0.858000,0.858000,0
2021-10-22,0.860150,0.860410,0.858070,0.860190,0.860190,0
2021-10-25,0.859010,0.862570,0.857000,0.859100,0.859100,0
2021-10-26,0.861200,0.863120,0.859919,0.861200,0.861200,0
2021-10-27,0.862200,0.863160,0.860260,0.862200,0.862200,0
2021-10-28,0.862150,0.863320,0.855200,0.862060,0.862060,0
2021-10-29,0.855890,0.866050,0.855300,0.855900,0.855900,0
2021-11-01,0.865100,0.866050,0.862570,0.865300,0.865300,0
2021-11-02,0.861940,0.863620,0.860956,0.862100,0.862100,0
2021-11-03,0.863500,0.864780,0.862143,0.863600,0.863600,0
2021-11-04,0.860900,0.867360,0.860800,0.860900,0.860900,0
2021-11-05,0.865300,0.868500,0.864700,0.865400,0.865400,0
2021-11-08,0.864420,0.865670,0.862400,0.864390,0.864390,0
2021-11-09,0.862910,0.864290,0.861400,0.862700,0.862700,0
2021-11-10,0.862540,0.868550,0.862200,0.862400,0.862400,0
2021-11-11,0.870650,0.872990,0.870200,0.870630,0.870630,0
2021-11-12,0.873530,0.874580,0.872610,0.873300,0.873300,0
2021-11-15,0.873950,0.875890,0.872280,0.874000,0.874000,0
2021-11-16,0.879710,0.882560,0.878194,0.879780,0.879780,0
2021-11-17,0.883690,0.887270,0.882301,0.883300,0.883300,0
2021-11-18,0.883540,0.883780,0.880300,0.883300,0.883300,0
2021-11-19,0.879500,0.888700,0.879500,0.879630,0.879630,0
2021-11-22,0.886860,0.889820,0.885700,0.886860,0.886860,0
2021-11-23,0.889400,0.890700,0.887040,0.889510,0.889510,0
2021-11-24,0.889370,0.893830,0.888530,0.889290,0.889290,0
2021-11-25,0.892300,0.892540,0.890400,0.892620,0.892620,0
2021-11-26,0.892140,0.892220,0.883236,0.892090,0.892090,0
2021-11-29,0.885650,0.888190,0.885112,0.885490,0.885490,0
2021-11-30,0.885460,0.889200,0.878600,0.885470,0.885470,0
2021-12-01,0.882610,0.884630,0.880400,0.882590,0.882590,0
2021-12-02,0.883420,0.884810,0.881200,0.883430,0.883430,0
2021-12-03,0.884420,0.887520,0.882470,0.884470,0.884470,0
2021-12-06,0.884750,0.887390,0.884173,0.884580,0.884580,0
2021-12-07,0.886170,0.890370,0.885000,0.886000,0.886000,0
2021-12-08,0.887070,0.887340,0.881910,0.886800,0.886800,0
2021-12-09,0.881520,0.886570,0.881400,0.881400,0.881400,0
2021-12-10,0.885420,0.887520,0.883190,0.885480,0.885480,0
2021-12-13,0.884080,0.887820,0.883700,0.884030,0.884030,0
2021-12-14,0.886260,0.887580,0.882800,0.886100,0.886100,0
2021-12-15,0.888200,0.888950,0.886682,0.888000,0.888000,0
2021-12-16,0.885500,0.886360,0.880000,0.885680,0.885680,0
2021-12-17,0.882190,0.887440,0.881130,0.882290,0.882290,0
2021-12-20,0.889480,0.889890,0.884600,0.889400,0.889400,0
2021-12-21,0.886780,0.887960,0.884700,0.886720,0.886720,0
2021-12-22,0.885700,0.887680,0.881679,0.885930,0.885930,0
2021-12-23,0.882600,0.885620,0.881400,0.882700,0.882700,0
2021-12-24,0.883030,0.884300,0.881500,0.882820,0.882820,0
2021-12-27,0.883090,0.884630,0.882223,0.883060,0.883060,0
2021-12-28,0.882630,0.885710,0.882145,0.882610,0.882610,0
2021-12-29,0.883910,0.886890,0.879507,0.883800,0.883800,0
2021-12-30,0.880300,0.884900,0.880300,0.880270,0.880270,0
2021-12-31,0.883140,0.884560,0.878800,0.883000,0.883000,0
